x,y
291,4027
291,4026
291,4025
291,4024
291,4023
291,4022
291,4021
292,4020
292,4019
292,4018
293,4017
293,4016
293,4015
294,4014
294,4013
294,4012
294,4011
294,4010
295,4009
295,4008
295,4007
295,4006
295,4005
295,4004
295,4003
296,4002
296,4001
296,4000
296,3999
296,3998
296,3997
296,3996
296,3995
296,3994
296,3993
296,3992
296,3991
296,3990
296,3989
296,3988
296,3987
297,3986
297,3985
297,3984
298,3983
298,3982
298,3981
299,3980
299,3979
300,3978
300,3977
300,3976
300,3975
300,3974
301,3973
301,3972
301,3971
301,3970
301,3969
301,3968
301,3967
301,3966
301,3965
301,3964
301,3963
301,3962
302,3961
302,3960
302,3959
302,3958
303,3957
303,3956
303,3955
304,3954
304,3953
304,3952
304,3951
304,3950
305,3949
305,3948
305,3947
305,3946
306,3945
306,3944
306,3943
306,3942
306,3941
306,3940
306,3939
307,3938
307,3937
307,3936
307,3935
307,3934
308,3933
309,3932
309,3931
310,3930
310,3929
310,3928
310,3927
310,3926
310,3925
310,3924
311,3923
311,3922
311,3921
311,3920
311,3919
311,3918
311,3917
311,3916
312,3915
312,3914
312,3913
313,3912
313,3911
314,3910
314,3909
315,3908
315,3907
315,3906
315,3905
315,3904
316,3903
316,3902
316,3901
316,3900
316,3899
316,3898
317,3897
317,3896
317,3895
317,3894
318,3893
318,3892
319,3891
320,3890
320,3889
320,3888
321,3887
321,3886
321,3885
321,3884
321,3883
321,3882
321,3881
321,3880
322,3879
322,3878
322,3877
323,3876
324,3875
324,3874
325,3874
326,3874
327,3874
328,3874
329,3874
330,3874
331,3874
332,3874
333,3874
334,3874
335,3874
336,3874
337,3874
338,3874
339,3874
340,3874
341,3874
342,3874
343,3873
344,3872
345,3872
346,3871
347,3870
348,3869
349,3868
350,3867
351,3866
352,3865
353,3864
354,3863
355,3862
356,3861
356,3860
356,3859
356,3858
357,3858
358,3858
359,3857
360,3856
361,3855
362,3855
363,3855
364,3855
365,3855
366,3854
367,3854
368,3854
369,3853
370,3852
371,3851
372,3850
373,3849
374,3848
375,3847
376,3846
377,3846
378,3846
379,3846
380,3846
381,3846
382,3846
383,3846
384,3846
385,3846
386,3846
387,3846
388,3846
389,3846
390,3846
391,3846
392,3846
393,3846
394,3846
395,3846
396,3846
397,3846
398,3846
399,3846
400,3846
401,3846
402,3846
403,3846
404,3846
405,3846
406,3846
407,3846
408,3847
409,3848
410,3849
411,3849
412,3849
413,3849
414,3849
415,3849
416,3849
417,3849
417,3850
418,3851
419,3852
420,3853
421,3854
422,3855
423,3856
424,3857
425,3858
425,3859
425,3860
425,3861
425,3862
426,3863
427,3864
427,3865
428,3866
429,3867
429,3868
430,3869
431,3870
431,3871
432,3872
433,3873
433,3874
434,3875
435,3876
435,3877
435,3878
436,3879
436,3880
437,3881
438,3882
438,3883
439,3884
440,3885
440,3886
441,3887
442,3888
442,3889
443,3890
444,3891
444,3892
445,3893
446,3894
446,3895
447,3896
448,3897
448,3898
449,3899
450,3900
450,3901
451,3902
452,3903
452,3904
453,3905
454,3906
455,3907
456,3908
457,3909
458,3910
459,3911
460,3912
460,3913
460,3914
460,3915
460,3916
461,3917
461,3918
461,3919
461,3920
461,3921
461,3922
461,3923
461,3924
461,3925
461,3926
461,3927
461,3928
461,3929
461,3930
462,3931
462,3932
462,3933
463,3934
463,3935
463,3936
464,3937
464,3938
464,3939
465,3940
465,3941
466,3942
467,3943
468,3944
469,3945
470,3946
471,3947
472,3948
473,3949
474,3950
475,3951
476,3952
476,3953
475,3954
474,3955
473,3956
472,3957
471,3958
470,3959
469,3960
468,3961
467,3962
467,3963
467,3964
467,3965
467,3966
467,3967
467,3968
467,3969
467,3970
467,3971
466,3972
466,3973
466,3974
466,3975
466,3976
465,3977
465,3978
465,3979
465,3980
465,3981
464,3982
464,3983
464,3984
464,3985
464,3986
463,3987
463,3988
463,3989
463,3990
463,3991
462,3992
462,3993
462,3994
462,3995
462,3996
461,3997
461,3998
461,3999
461,4000
461,4001
461,4002
461,4003
461,4004
461,4005
461,4006
461,4007
461,4008
461,4009
461,4010
461,4011
461,4012
461,4013
461,4014
461,4015
461,4016
461,4017
461,4018
461,4019
461,4020
461,4021
461,4022
461,4023
461,4024
461,4025
461,4026
460,4027
460,4028
460,4029
460,4030
460,4031
460,4032
459,4033
459,4034
459,4035
459,4036
459,4037
459,4038
459,4039
458,4040
458,4041
458,4042
458,4043
458,4044
458,4045
457,4046
457,4047
457,4048
457,4049
457,4050
457,4051
457,4052
456,4053
456,4054
456,4055
456,4056
456,4057
456,4058
455,4059
455,4060
455,4061
455,4062
455,4063
455,4064
455,4065
454,4066
454,4067
454,4068
454,4069
454,4070
454,4071
454,4072
454,4073
453,4074
453,4075
453,4076
453,4077
453,4078
453,4079
452,4080
452,4081
452,4082
452,4083
