x,y
206 ,1269
206 ,1268
206 ,1267
206 ,1266
206 ,1265
207 ,1264
207 ,1263
207 ,1262
207 ,1261
207 ,1260
207 ,1259
208 ,1258
208 ,1257
208 ,1256
208 ,1255
208 ,1254
208 ,1253
209 ,1252
209 ,1251
209 ,1250
209 ,1249
209 ,1248
209 ,1247
210 ,1246
210 ,1245
210 ,1244
210 ,1243
210 ,1242
210 ,1241
211 ,1240
211 ,1239
211 ,1238
211 ,1237
211 ,1236
211 ,1235
212 ,1234
212 ,1233
212 ,1232
212 ,1231
212 ,1230
212 ,1229
213 ,1228
213 ,1227
213 ,1226
213 ,1225
213 ,1224
213 ,1223
214 ,1222
214 ,1221
214 ,1220
214 ,1219
214 ,1218
214 ,1217
215 ,1216
215 ,1215
215 ,1214
215 ,1213
215 ,1212
215 ,1211
216 ,1210
216 ,1209
216 ,1208
216 ,1207
216 ,1206
216 ,1205
217 ,1204
217 ,1203
217 ,1202
217 ,1201
217 ,1200
217 ,1199
218 ,1198
218 ,1197
218 ,1196
218 ,1195
218 ,1194
218 ,1193
219 ,1192
219 ,1191
219 ,1190
219 ,1189
219 ,1188
219 ,1187
220 ,1186
220 ,1185
220 ,1184
220 ,1183
220 ,1182
220 ,1181
221 ,1180
221 ,1179
221 ,1178
221 ,1177
221 ,1176
221 ,1175
222 ,1174
222 ,1173
222 ,1172
222 ,1171
222 ,1170
222 ,1169
223 ,1168
223 ,1167
223 ,1166
223 ,1165
223 ,1164
224 ,1163
224 ,1162
224 ,1161
224 ,1160
224 ,1159
224 ,1158
225 ,1157
225 ,1156
225 ,1155
225 ,1154
225 ,1153
225 ,1152
226 ,1151
226 ,1150
226 ,1149
226 ,1148
226 ,1147
227 ,1146
227 ,1145
227 ,1144
227 ,1143
227 ,1142
227 ,1141
227 ,1140
228 ,1139
228 ,1138
228 ,1137
228 ,1136
228 ,1135
228 ,1134
228 ,1133
228 ,1132
229 ,1131
229 ,1130
229 ,1129
229 ,1128
229 ,1127
229 ,1126
229 ,1125
229 ,1124
229 ,1123
230 ,1122
230 ,1121
230 ,1120
230 ,1119
230 ,1118
230 ,1117
230 ,1116
230 ,1115
230 ,1114
230 ,1113
230 ,1112
231 ,1111
231 ,1110
231 ,1109
231 ,1108
231 ,1107
231 ,1106
231 ,1105
231 ,1104
231 ,1103
231 ,1102
231 ,1101
231 ,1100
231 ,1099
231 ,1098
232 ,1097
232 ,1096
232 ,1095
232 ,1094
232 ,1093
232 ,1092
232 ,1091
232 ,1090
232 ,1089
232 ,1088
232 ,1087
232 ,1086
232 ,1085
232 ,1084
232 ,1083
232 ,1082
232 ,1081
232 ,1080
232 ,1079
233 ,1078
233 ,1077
233 ,1076
233 ,1075
233 ,1074
233 ,1073
233 ,1072
233 ,1071
233 ,1070
233 ,1069
233 ,1068
233 ,1067
233 ,1066
233 ,1065
233 ,1064
233 ,1063
233 ,1062
233 ,1061
233 ,1060
233 ,1059
233 ,1058
233 ,1057
233 ,1056
233 ,1055
233 ,1054
233 ,1053
233 ,1052
233 ,1051
233 ,1050
233 ,1049
233 ,1048
233 ,1047
233 ,1046
233 ,1045
233 ,1044
233 ,1043
233 ,1042
233 ,1041
233 ,1040
233 ,1039
233 ,1038
233 ,1037
233 ,1036
233 ,1035
233 ,1034
233 ,1033
233 ,1032
233 ,1031
233 ,1030
233 ,1029
233 ,1028
233 ,1027
233 ,1026
233 ,1025
233 ,1024
233 ,1023
233 ,1022
233 ,1021
233 ,1020
233 ,1019
233 ,1018
233 ,1017
233 ,1016
233 ,1015
233 ,1014
233 ,1013
233 ,1012
233 ,1011
233 ,1010
233 ,1009
233 ,1008
233 ,1007
233 ,1006
233 ,1005
233 ,1004
233 ,1003
233 ,1002
233 ,1001
233 ,1000
233 , 999
233 , 998
233 , 997
233 , 996
233 , 995
233 , 994
233 , 993
232 , 992
232 , 991
232 , 990
232 , 989
232 , 988
232 , 987
232 , 986
232 , 985
232 , 984
232 , 983
232 , 982
232 , 981
232 , 980
231 , 979
231 , 978
231 , 977
231 , 976
231 , 975
231 , 974
231 , 973
231 , 972
230 , 971
230 , 970
230 , 969
230 , 968
230 , 967
230 , 966
230 , 965
229 , 964
229 , 963
229 , 962
229 , 961
229 , 960
228 , 959
228 , 958
228 , 957
228 , 956
228 , 955
227 , 954
227 , 953
227 , 952
227 , 951
226 , 950
227 , 949
228 , 948
229 , 947
230 , 946
231 , 945
232 , 944
233 , 943
234 , 942
235 , 941
236 , 940
237 , 939
238 , 938
239 , 937
240 , 936
241 , 936
242 , 936
243 , 936
244 , 936
245 , 936
246 , 936
247 , 936
248 , 936
249 , 936
250 , 936
251 , 936
252 , 936
253 , 936
254 , 936
255 , 936
256 , 936
257 , 937
258 , 938
259 , 939
260 , 940
261 , 941
261 , 942
261 , 943
261 , 944
261 , 945
261 , 946
261 , 947
261 , 948
262 , 949
263 , 950
264 , 951
265 , 952
266 , 953
267 , 954
268 , 955
