x,y
3918.411,2944.509
3918.418,2940.572
3918.425,2936.634
3918.432,2932.696
3918.439,2928.758
3918.446,2924.82
3918.453,2920.882
3918.46,2916.944
3922.405,2913.013
3926.35,2909.082
3930.295,2905.151
3934.24,2901.22
3934.248,2897.282
3934.255,2893.344
3934.262,2889.406
3934.269,2885.468
3934.276,2881.53
3934.283,2877.593
3934.29,2873.655
3934.297,2869.717
3934.304,2865.779
3934.311,2861.841
3934.318,2857.903
3934.325,2853.965
3934.333,2850.027
3934.34,2846.089
3934.347,2842.151
3934.354,2838.213
3938.299,2834.282
3942.237,2834.289
3946.182,2830.358
3946.189,2826.42
3950.134,2822.489
3950.141,2818.552
3950.148,2814.614
3950.155,2810.676
3950.162,2806.738
3954.107,2802.807
3958.045,2802.814
3961.99,2798.883
3961.997,2794.945
3962.004,2791.007
3962.011,2787.069
3962.019,2783.131
3962.026,2779.193
3965.971,2775.262
3969.916,2771.331
3973.854,2771.338
3977.799,2767.407
3977.806,2763.469
3977.813,2759.532
3977.82,2755.594
3977.827,2751.656
3977.834,2747.718
3977.841,2743.78
3977.848,2739.842
3977.855,2735.904
3977.862,2731.966
3977.869,2728.028
3977.876,2724.09
3977.884,2720.152
3977.891,2716.214
3981.836,2712.283
3985.774,2712.29
3989.719,2708.359
3993.664,2704.428
3993.671,2700.49
3993.678,2696.553
3993.685,2692.615
3993.692,2688.677
3993.699,2684.739
3993.706,2680.801
3993.713,2676.863
3993.72,2672.925
3993.728,2668.987
3993.735,2665.049
3993.742,2661.111
3993.749,2657.173
3993.756,2653.235
3993.763,2649.297
3993.77,2645.359
3993.777,2641.421
3993.784,2637.483
3993.791,2633.545
3993.798,2629.607
3993.805,2625.669
3997.75,2621.739
4001.695,2617.808
4005.64,2613.877
4009.585,2609.946
4009.593,2606.008
4009.6,2602.07
4009.607,2598.132
4009.614,2594.194
4009.621,2590.256
4009.628,2586.318
4009.635,2582.38
4009.642,2578.442
4013.587,2574.511
4017.532,2570.581
4021.477,2566.65
4025.422,2562.719
4025.429,2558.781
4025.437,2554.843
4025.444,2550.905
4025.451,2546.967
4025.458,2543.029
4025.465,2539.091
4025.472,2535.153
4025.479,2531.215
4029.424,2527.284
4033.369,2523.353
4037.307,2523.36
4041.252,2519.43
4041.259,2515.492
4041.266,2511.554
4041.273,2507.616
4041.28,2503.678
4041.287,2499.74
4045.232,2495.809
4049.177,2491.878
4053.115,2491.885
4057.061,2487.954
4057.068,2484.016
4057.075,2480.078
4057.082,2476.14
4057.089,2472.202
4057.096,2468.264
4057.103,2464.326
4057.11,2460.388
4057.117,2456.451
4057.124,2452.513
4057.131,2448.575
4057.138,2444.637
4057.146,2440.699
4057.153,2436.761
4061.097,2432.83
4065.035,2432.837
4068.98,2428.906
4072.926,2424.975
4072.933,2421.037
4072.94,2417.099
4072.947,2413.161
4072.954,2409.223
4072.961,2405.285
4072.968,2401.347
4072.975,2397.41
4072.982,2393.472
4072.989,2389.534
4072.996,2385.596
4073.003,2381.658
4073.01,2377.72
4076.956,2373.789
4076.963,2369.851
4080.901,2369.858
4084.846,2365.927
4088.791,2361.996
4088.798,2358.058
4088.805,2354.12
4088.812,2350.182
4088.819,2346.244
4088.826,2342.306
4088.833,2338.369
4088.84,2334.431
4088.847,2330.493
4088.854,2326.555
4088.861,2322.617
4088.868,2318.679
4088.875,2314.741
4088.883,2310.803
4088.89,2306.865
4088.897,2302.927
4088.904,2298.989
4092.849,2295.058
4096.794,2291.127
4100.739,2287.196
4104.684,2283.265
4104.691,2279.327
4104.698,2275.39
4104.705,2271.452
4104.712,2267.514
4104.72,2263.576
4104.727,2259.638
4104.733,2255.7
4104.741,2251.762
4108.686,2247.831
4112.631,2243.9
4116.568,2243.907
4120.514,2239.976
4120.521,2236.038
4120.528,2232.1
4120.535,2228.162
4120.542,2224.224
4120.549,2220.286
4124.494,2216.356
4128.439,2212.425
4132.377,2212.432
4136.322,2208.501
4136.329,2204.563
4136.336,2200.625
4136.344,2196.687
4136.351,2192.749
4136.357,2188.811
4140.303,2184.88
4144.241,2184.887
4148.186,2180.957
4152.131,2177.026
4152.138,2173.088
4152.145,2169.15
4152.152,2165.212
4152.159,2161.274
4152.166,2157.336
4156.111,2153.405
4160.049,2153.412
4163.994,2149.481
4167.939,2145.55
4167.946,2141.612
4167.953,2137.674
4167.96,2133.736
4167.968,2129.798
4167.975,2125.861
4167.981,2121.923
4167.989,2117.985
4167.996,2114.047
4168.003,2110.109
4171.948,2106.178
4175.886,2106.185
4179.831,2102.254
4183.776,2098.323
4183.783,2094.385
4183.79,2090.447
4183.797,2086.509
4183.804,2082.571
4183.812,2078.633
4187.749,2078.64
4191.694,2074.709
4195.64,2070.779
4199.584,2066.848
4199.592,2062.91
4199.599,2058.972
4199.605,2055.034
4199.613,2051.096
4199.62,2047.158
4199.627,2043.22
4199.634,2039.282
4199.641,2035.344
4203.586,2031.413
4207.531,2027.482
4211.476,2023.552
4215.421,2019.621
4215.428,2015.683
4215.436,2011.745
4215.442,2007.807
4215.449,2003.869
4215.457,1999.931
4215.464,1995.993
4215.471,1992.055
4215.478,1988.117
4215.485,1984.179
4215.492,1980.241
4215.499,1976.303
4215.506,1972.365
4215.513,1968.427
4215.521,1964.489
4215.527,1960.551
4215.534,1956.613
4215.542,1952.675
4215.549,1948.737
4215.556,1944.799
4215.563,1940.861
4211.632,1936.917
4207.701,1932.971
4203.763,1932.964
4199.832,1929.019
4199.839,1925.081
4199.847,1921.143
4199.854,1917.205
